image_id,split,image_path,status,lesion_types,predicted_grade,predicted_class_index,confidence,proxy_gt_referable,model_referable,proxy_prediction_correct,saliency_mass_in_lesion,pointing_game_hit,iou,iou_mass_top20,dice_mass_top20,num_lesion_pixels,num_attention_pixels,mask_area_frac,saliency_mass_on_retina,attention_on_retina_frac,ma_saliency_mass,ma_pointing_hit,ma_iou,ma_num_mask_px,he_saliency_mass,he_pointing_hit,he_iou,he_num_mask_px,ex_saliency_mass,ex_pointing_hit,ex_iou,ex_num_mask_px,se_saliency_mass,se_pointing_hit,se_iou,se_num_mask_px,skip_or_error_reason
IDRiD_01,train,C:\projects\DrishtiCare\data\idrid\A. Segmentation\1. Original Images\a. Training Set\IDRiD_01.jpg,scored,MA+HE+EX,Moderate,3,0.9960111,1,1,1,0.0141766040605387,0,0.0155952833777102,0.00398704211313232,0.00794241747331844,644,10036,0.0128348214285714,0.72638987893627,0.837485053806297,0.000752004815247385,0,0.00109420073609868,28,0.00150057388400192,0,0,144,0.0119240253612894,0,0.0147754707870594,472,NaN,NaN,NaN,0,
IDRiD_02,train,C:\projects\DrishtiCare\data\idrid\A. Segmentation\1. Original Images\a. Training Set\IDRiD_02.jpg,scored,MA+HE+EX,Moderate,3,0.8909481,1,1,1,0.0189217266583802,1,0.0129032258064516,0.0425164189422745,0.0815649867374005,640,10036,0.0127551020408163,0.887645176763946,1,0.00101594367680688,0,0.000894632206759443,33,0.00215813377982984,0,0.00198333994446648,68,0.0157476492017435,1,0.0102216278181123,539,NaN,NaN,NaN,0,
IDRiD_03,train,C:\projects\DrishtiCare\data\idrid\A. Segmentation\1. Original Images\a. Training Set\IDRiD_03.jpg,scored,MA+HE+EX+SE,Moderate,3,0.9833282,1,1,1,0.0695914271945334,0,0.103080459770115,0.0938390703793028,0.171577470434957,1960,10036,0.0390625,0.830284350856099,1,0.001454137453056,0,0.0019872813990461,48,0.0130307507220914,0,0.0172938046370201,670,0.0550448419333425,0,0.0888180148835411,1230,6.1697086043524e-05,0,0,12,
IDRiD_04,train,C:\projects\DrishtiCare\data\idrid\A. Segmentation\1. Original Images\a. Training Set\IDRiD_04.jpg,scored,MA+HE+EX,Mild,2,0.7660536,1,0,0,0.0056924891825675,0,0.00116527481064284,0.00112517580872011,0.00224782242202866,274,10036,0.00546077806122449,0.722736151740201,0.861100039856517,5.56568440001252e-05,0,0,3,0.00483829628726371,0,0,247,0.000798536051303665,0,0.00119426751592357,24,NaN,NaN,NaN,0,
IDRiD_05,train,C:\projects\DrishtiCare\data\idrid\A. Segmentation\1. Original Images\a. Training Set\IDRiD_05.jpg,scored,MA+HE+EX,Moderate,3,0.8282517,1,1,1,0.00215571211601153,0,0.00138476755687438,0,0,88,10036,0.00175382653061224,0.636658124836062,0.575229174970108,0.000364479954473217,0,0.000398168425243878,14,0.0010372080551521,0,0.000993838203140529,36,0.000754024106386213,0,0,38,NaN,NaN,NaN,0,
IDRiD_06,train,C:\projects\DrishtiCare\data\idrid\A. Segmentation\1. Original Images\a. Training Set\IDRiD_06.jpg,scored,MA+HE+EX,Moderate,3,0.4916914,1,1,1,0.0235294938348652,0,0.0290227048371175,0.051792828685259,0.0984848484848485,388,10036,0.0077327806122449,0.836870732844863,0.892785970506178,0.00188468468385218,0,0.00198866461171323,41,0.00347529753404453,0,0.00435859336305102,103,0.0181695116169685,0,0.0228855721393035,244,NaN,NaN,NaN,0,
IDRiD_07,train,C:\projects\DrishtiCare\data\idrid\A. Segmentation\1. Original Images\a. Training Set\IDRiD_07.jpg,scored,MA+HE+EX,Moderate,3,0.946368,1,1,1,0.0236845970543404,0,0.0172510257366654,0.00358917725013805,0.00715268225584594,873,10036,0.017398756377551,0.895921605077612,1,0.0015585811586574,0,0.00168818272095333,51,0.00245942448034041,0,0.00246426811237063,134,0.0196665914153426,0,0.0135147906625083,688,NaN,NaN,NaN,0,
IDRiD_08,train,C:\projects\DrishtiCare\data\idrid\A. Segmentation\1. Original Images\a. Training Set\IDRiD_08.jpg,scored,MA+HE+EX+SE,Moderate,3,0.7041292,1,1,1,0.0070768200642032,0,0.00201554851713216,0.00311873468478503,0.00621807683766378,404,10036,0.00805165816326531,0.67617780609234,0.70964527700279,0.000375609701859387,0,9.94925878022087e-05,16,0.00314378711967679,0,0.00108108108108108,150,0.000775640110912882,0,0.00089003164556962,85,0.00278178313175414,0,0,153,
IDRiD_09,train,C:\projects\DrishtiCare\data\idrid\A. Segmentation\1. Original Images\a. Training Set\IDRiD_09.jpg,scored,MA+HE+EX,Moderate,3,0.978517,1,1,1,0.0220426872709466,0,0.00146969827958848,0.000349283967865875,0.000698324022346369,1548,10036,0.0308514030612245,0.646069218540298,0.575727381426863,0.00226137849591763,0,0.00118005703609008,145,0.00354068320344036,0,0,354,0.0162406255715887,0,0.000451263537906137,1049,NaN,NaN,NaN,0,
IDRiD_10,train,C:\projects\DrishtiCare\data\idrid\A. Segmentation\1. Original Images\a. Training Set\IDRiD_10.jpg,scored,MA+HE+EX,Severe,4,0.5626409,1,1,1,0.165899048605615,0,0.208841995116847,0.103598122718582,0.187746101748307,3827,10036,0.0762715242346939,0.875612146495447,1,0.00329613446308417,0,0.00354959574048511,142,0.00852091523182912,0,0.00949980612640558,378,0.154081998910702,0,0.204024544306082,3307,NaN,NaN,NaN,0,
